Title,Poem,Poet,Emotion
Sonnet 12: When I do count the clock that tells the time,"When I do count the clock that tells the time, And see the brave day sunk in hideous night; When I behold the violet past prime, And sable curls all silver’d o’er with white;When lofty trees I see barren of leaves Which erst from heat did canopy the herd,And summer’s green all girded up in sheaves Borne on the bier with white and bristly beard, Then of thy beauty do I question make, That thou among the wastes of time must go,Since sweets and beauties do themselves forsakeAnd die as fast as they see others grow;    And nothing ‘gainst Time’s scythe can make defence   Save breed, to brave him when he takes thee hence.",William Shakespeare,Fear
"Speech: “Once more unto the breach, dear friends, once more”","(from Henry V, spoken by King Henry)Once more unto the breach, dear friends, once more; Or close the wall up with our English dead. In peace there's nothing so becomes a man As modest stillness and humility: But when the blast of war blows in our ears, Then imitate the action of the tiger; Stiffen the sinews, summon up the blood, Disguise fair nature with hard-favour'd rage; Then lend the eye a terrible aspect; Let pry through the portage of the head Like the brass cannon; let the brow o'erwhelm it As fearfully as doth a galled rock O'erhang and jutty his confounded base, Swill'd with the wild and wasteful ocean. Now set the teeth and stretch the nostril wide, Hold hard the breath and bend up every spirit To his full height. On, on, you noblest English. Whose blood is fet from fathers of war-proof! Fathers that, like so many Alexanders, Have in these parts from morn till even fought And sheathed their swords for lack of argument: Dishonour not your mothers; now attest That those whom you call'd fathers did beget you. Be copy now to men of grosser blood, And teach them how to war. And you, good yeoman, Whose limbs were made in England, show us here The mettle of your pasture; let us swear That you are worth your breeding; which I doubt not; For there is none of you so mean and base, That hath not noble lustre in your eyes. I see you stand like greyhounds in the slips, Straining upon the start. The game's afoot: Follow your spirit, and upon this charge Cry 'God for Harry, England, and Saint George!'",William Shakespeare,Joy
"Song: “Take, oh take those lips away”","(from Measure for Measure)Take, oh take those lips away,       That so sweetly were forsworn, And those eyes: the breake of day,       Lights that do mislead the Morn; But my kisses bring again, bring again, Seals of love, but sealed in vain, sealed in vain.",William Shakespeare,Sadness
Song: “Who is Silvia? what is she”,"(from Two Gentlemen of Verona)Who is Silvia? what is she,     That all our swains commend her? Holy, fair, and wise is she;     The heaven such grace did lend her, That she might admirèd be. Is she kind as she is fair?     For beauty lives with kindness. Love doth to her eyes repair,     To help him of his blindness; And, being helped, inhabits there. Then to Silvia let us sing,     That Silvia is excelling; She excels each mortal thing     Upon the dull earth dwelling;  To her let us garlands bring",William Shakespeare,Sadness
Speech: “The raven himself is hoarse”,"(from Macbeth, spoken by Lady Macbeth)The raven himself is hoarseThat croaks the fatal entrance of DuncanUnder my battlements. Come, you spiritsThat tend on mortal thoughts, unsex me here,And fill me, from the crown to the toe, top-fullOf direst cruelty! Make thick my blood,Stop up th' access and passage to remorse,That no compunctious visitings of natureShake my fell purpose, nor keep peace betweenThe effect and it! Come to my woman's breasts,And take my milk for gall, you murd'ring ministers,Wherever in your sightless substancesYou wait on nature's mischief! Come, thick night,And pall thee in the dunnest smoke of hell,That my keen knife see not the wound it makes,Nor heaven peep through the blanket of the dark,To cry ""Hold, hold!""",William Shakespeare,Fear
Speech: Bottom's Dream,"(from A Midsummer Night's Dream, spoken by Bottom)When my cue comes, call me, and I will answer. My next is “Most fair Pyramus.” Heigh-ho! Peter Quince? Flute the bellows-mender? Snout the tinker? Starveling? God’s my life, stol'n hence, and left me asleep? I have had a most rare vision. I have had a dream—past the wit of man to say what dream it was. Man is but an ass if he go about to expound this dream. Methought I was—there is no man can tell what. Methought I was, and methought I had—but man is but a patched fool if he will offer to say what methought I had. The eye of man hath not heard, the ear of man hath not seen, man’s hand is not able to taste, his tongue to conceive, nor his heart to report what my dream was. I will get Peter Quince to write a ballad of this dream. It shall be called “Bottom’s Dream” because it hath no bottom. And I will sing it in the latter end of a play before the duke. Peradventure, to make it the more gracious, I shall sing it at her death.",William Shakespeare,Surprise
"Sonnet 123: No, Time, thou shalt not boast that I do change","No, Time, thou shalt not boast that I do change:Thy pyramids built up with newer mightTo me are nothing novel, nothing strange;They are but dressings of a former sight.Our dates are brief, and therefore we admireWhat thou dost foist upon us that is old,And rather make them born to our desireThan think that we before have heard them told.Thy registers and thee I both defy,Not wondering at the present nor the past;For thy records and what we see doth lie,Made more or less by that continual haste.   This I do vow, and this shall ever be:   I will be true, despite thy scythe and thee.",William Shakespeare,Fear
Sonnet 125: Were’t aught to me I bore the canopy,"Were’t aught to me I bore the canopy,With my extern the outward honouring,Or laid great bases for eternity,Which proves more short than waste or ruining;Have I not seen dwellers on form and favourLose all, and more, by paying too much rent,For compound sweet forgoing simple savour,Pitiful thrivers, in their gazing spent?No;—let me be obsequious in thy heart,And take thou my oblation, poor but free,Which is not mix’d with seconds, knows no art,But mutual render, only me for thee.   Hence, thou suborn’d informer! a true soul,   When most impeach’d, stands least in thy control.",William Shakespeare,Sadness
Speech: “Is this a dagger which I see before me”,"(from Macbeth, spoken by Macbeth)Is this a dagger which I see before me, The handle toward my hand? Come, let me clutch thee. I have thee not, and yet I see thee still. Art thou not, fatal vision, sensible To feeling as to sight? or art thou but A dagger of the mind, a false creation, Proceeding from the heat-oppressed brain? I see thee yet, in form as palpable As this which now I draw. Thou marshall'st me the way that I was going; And such an instrument I was to use. Mine eyes are made the fools o' the other senses, Or else worth all the rest; I see thee still, And on thy blade and dudgeon gouts of blood, Which was not so before. There's no such thing: It is the bloody business which informs Thus to mine eyes. Now o'er the one halfworld Nature seems dead, and wicked dreams abuse The curtain'd sleep; witchcraft celebrates Pale Hecate's offerings, and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch, thus with his stealthy pace. With Tarquin's ravishing strides, towards his design Moves like a ghost. Thou sure and firm-set earth, Hear not my steps, which way they walk, for fear Thy very stones prate of my whereabout, And take the present horror from the time, Which now suits with it. Whiles I threat, he lives: Words to the heat of deeds too cold breath gives.                                     [a bell rings] I go, and it is done; the bell invites me. Hear it not, Duncan; for it is a knell That summons thee to heaven or to hell.",William Shakespeare,Sadness
Song: “Full fathom five thy father lies”,(from The Tempest)Full fathom five thy father lies;,William Shakespeare,Fear
